host,hostname,department,criticality,location
worker-10.0.5.67,worker-67,HR,Critical,us-west-2
worker-10.0.5.68,worker-68,Marketing,Low,eu-west-1
worker-10.0.5.69,worker-69,Security,Medium,us-east-1
worker-10.0.5.70,worker-70,Engineering,High,us-west-2
worker-10.0.5.71,worker-71,Finance,Critical,eu-west-1
worker-10.0.5.72,worker-72,HR,Low,us-east-1
worker-10.0.5.73,worker-73,Marketing,Medium,us-west-2
worker-10.0.5.74,worker-74,Security,High,eu-west-1
worker-10.0.5.75,worker-75,Engineering,Critical,us-east-1
worker-10.0.5.76,worker-76,Finance,Low,us-west-2
worker-10.0.5.77,worker-77,HR,Medium,eu-west-1
worker-10.0.5.78,worker-78,Marketing,High,us-east-1
worker-10.0.5.79,worker-79,Security,Critical,us-west-2
worker-10.0.5.80,worker-80,Engineering,Low,eu-west-1
worker-10.0.5.81,worker-81,Finance,Medium,us-east-1
worker-10.0.5.82,worker-82,HR,High,us-west-2
worker-10.0.5.83,worker-83,Marketing,Critical,eu-west-1
worker-10.0.5.84,worker-84,Security,Low,us-east-1
worker-10.0.5.85,worker-85,Engineering,Medium,us-west-2
worker-10.0.5.86,worker-86,Finance,High,eu-west-1
worker-10.0.5.87,worker-87,HR,Critical,us-east-1
worker-10.0.5.88,worker-88,Marketing,Low,us-west-2
worker-10.0.5.89,worker-89,Security,Medium,eu-west-1
worker-10.0.5.90,worker-90,Engineering,High,us-east-1
worker-10.0.5.91,worker-91,Finance,Critical,us-west-2
worker-10.0.5.92,worker-92,HR,Low,eu-west-1
worker-10.0.5.93,worker-93,Marketing,Medium,us-east-1
worker-10.0.5.94,worker-94,Security,High,us-west-2
worker-10.0.5.95,worker-95,Engineering,Critical,eu-west-1
worker-10.0.5.96,worker-96,Finance,Low,us-east-1
worker-10.0.5.97,worker-97,HR,Medium,us-west-2
worker-10.0.5.98,worker-98,Marketing,High,eu-west-1
worker-10.0.5.99,worker-99,Security,Critical,us-east-1
worker-10.0.5.100,worker-100,Engineering,Low,us-west-2
